YEAR,NAMEPCAP,USNGENAN,USCO2AN,USCO2EQA,USCO2RTA,USC2ERTA,
1996,834337.01,3455700615.4,2504659131,NaN,1449.53,NaN,
1997,844172.7403,3499073904.1,2572014238.32,NaN,1470.095,NaN,
1998,828631.364,3622676361.2,2576814488.12,NaN,1422.603,NaN,
1999,837208.673,3699005389.8,2590182364.06,NaN,1400.475,NaN,
2000,864905.675,3810305466,2652901442.24,NaN,1392.488,NaN,
2004,1052996.1,3935071766.2,2681753802.98,NaN,1363.001,NaN,
2005,1067745.8,4056441933.0348,2696209203.838,NaN,1329.3469,NaN,
2007,1088205.2,4161101968.1409,2690251463.0717,2704011660.1207,1293.0476,1299.6613,
2009,1134441.5,3951097802.1503,2402619969.1097,2414688998.8433,1216.1784,1222.2876,
2010,1145056,4125847023.49,2542238893.02,2554963154.35,1232.3476,1238.5157,
2012,1309394.6,4045517914.744402,2298924483.354739,2309886780.35249,1136.529133,1141.94861,
2014,1450634.5,4079690473.912,2290550472.077,2305378133.513,1122.904,1130.173,
2016,1515006.8,4075322641.089,2034489329.815,2046152125.46,998.443,1004.167,
2018,1561642.9,4168370117.666,1974101893.828,1985972373.655,947.182,952.877,
2019,1613477.2,4140185857.271,1830437294.407,1840756520.736,884.23,889.214,
2020,1656187.7,4021549453.402,1645395792.767,1654106378.443,818.289,822.621,
2021,1258286,4120144619.358,1755800221.732,1765520482.754,852.3,857.019,
2022,1281209.4,4240140532.692,1745134436.78,1754401451.019,823.149,827.52,